time,itf_g,itf_t,itf_s,aghulas_box,aghulas_jet,amoc
2005-04-01,-4.973721690531978,-4.940993100721965,4.798568535957054,-105.72832,-97.14704,18.992645
2005-05-01,-4.913847843882199,-2.27889924691056,2.750521560022217,-96.10967,-102.08691,18.415602
2005-06-01,4.539409011652162,7.825301373753723,3.4286216305320774,-79.9911,-94.776955,18.342491
2005-07-01,6.608410005698767,10.249088892195068,1.9947576447520623,-80.73167,-98.6084,20.162497
2005-08-01,6.471328113557867,8.257836799572296,2.1718328557420654,-55.863876,-87.267456,19.834774
2005-09-01,10.42258967938517,10.822593043148004,3.576113683908076,-55.547844,-90.52153,21.413816
2005-10-01,3.941717702159036,4.655562645866776,2.844550235330091,-52.298016,-81.789566,19.971687
2005-11-01,3.350297895885296,3.06180156617254,2.901005681501452,-104.63811,-117.28634,22.89705
2005-12-01,6.586962735318096,6.332599263785436,2.060444737267366,-83.491035,-102.828926,16.885313
2006-01-01,10.244292667668043,11.537652424757596,-0.5601987315573488,-91.82944,-107.34353,19.98651
2006-02-01,8.862881053621289,9.251191501198615,-0.7921479392727423,-91.96643,-106.29377,18.089504
2006-03-01,8.169196426491977,5.876480242927593,1.5867809214710893,-98.3912,-92.84598,14.373469
2006-04-01,5.024579933816662,-0.6043017111909841,3.4254086209715613,-79.861015,-100.240234,12.976471
2006-05-01,5.788180581294198,1.4421643336090413,0.5876255827879485,-79.56849,-95.735176,14.053331
2006-06-01,14.637001449297816,10.7174330903025,1.81271313067042,-94.24583,-102.10282,18.25697
2006-07-01,15.244585897996364,12.109377136245543,0.1137216859402776,-87.316345,-87.06468,20.165817
2006-08-01,11.965500141562812,8.734948140729998,0.1944087272738442,-96.31735,-104.86474,17.803045
2006-09-01,13.631875933104412,9.877071827876575,4.082708954279835,-83.00129,-104.356606,17.789633
2006-10-01,4.259707248626151,2.4665118958184653,2.4354060680579,-87.98393,-86.67739,19.708374
2006-11-01,2.7960304316069724,-0.1536170170426826,3.968850587647304,-112.090546,-110.85931,19.021362
2006-12-01,3.111926504124772,2.379521387105067,1.3758134416701862,-79.254486,-103.69053,20.27315
2007-01-01,6.667178113057034,7.69119193497778,-1.854633692956702,-77.74058,-99.96772,20.199959
2007-02-01,3.871212286417701,5.404818111381747,-2.569289504002259,-99.03354,-104.743195,15.235575
2007-03-01,0.7012754844797351,2.3149087295600284,-4.774934322328968,-91.99395,-105.64774,18.666815
2007-04-01,-1.522187930256841,-3.4815393837333106,0.1621393310780876,-88.55881,-86.5327,13.596029
2007-05-01,0.7249852100997656,-0.3482797307085725,-1.9384849239119084,-86.24524,-83.52677,18.757017
2007-06-01,12.379179545601742,10.064050349543407,-1.284130764256227,-92.85853,-92.81425,15.432915
2007-07-01,16.922271674979314,12.761503477917184,-0.1778590675010687,-93.45636,-95.78079,19.983654
2007-08-01,16.137379673016085,11.113051042474654,1.4241379620121266,-88.832794,-84.037094,18.37735
2007-09-01,21.634883305153625,13.718552907033224,2.802053317670364,-102.394554,-80.935135,17.436352
2007-10-01,15.569573933946614,7.282648654426174,2.1933611817066447,-91.786835,-80.52504,18.650951
2007-11-01,13.512796259404258,5.575146899130007,2.439857263726604,-90.04338,-77.03861,17.871952
2007-12-01,13.151246217316164,8.67501665714821,0.1820810539148774,-102.51908,-82.27161,19.31568
2008-01-01,13.534959361547546,13.9506516099395,-4.469149045871991,-115.47248,-91.87645,19.421356
2008-02-01,11.287729154905271,10.756914277574076,-2.790353240768669,-63.99666,-81.34998,18.28371
2008-03-01,7.221037066556427,6.541846592804042,-1.2432803190509747,-92.14434,-99.166115,17.306997
2008-04-01,0.8765144453691465,-0.9195944304797132,1.80116381064792,-103.63292,-105.43098,16.721083
